LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2020-06-06 11:04:36,1900-01-00 00:00:00,,CC:CE:1E:6A:2C:A7,0, ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:36,1900-01-00 00:00:00,,40:83:1D:4A:D4:6B,0,,0.000000,0.000000,0.000,0.000,Client
2020-06-06 11:04:36,1900-01-00 00:00:00,,CC:CE:1E:6A:2C:A7,-45, ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:36,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:36,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:36,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:36,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:36,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:37,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:37,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:37,1900-01-00 00:00:00,,40:83:1D:4A:D4:6B,0,,0.000000,0.000000,0.000,0.000,Client
2020-06-06 11:04:37,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:37,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2020-06-06 11:04:37,1900-01-00 00:00:00,Incubus's Lair,CC:CE:1E:6A:2C:A7,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
